Data,,
Time,Temperature,Temperature
2024-11-15 23:37:59.000,21.66186796,21.69327524
2024-11-15 23:37:59.500,21.66186796,21.69327524
2024-11-15 23:38:00.000,21.66186796,21.69327524
2024-11-15 23:38:00.500,21.65688639,21.69026637
2024-11-15 23:38:01.000,21.65688639,21.69026637
2024-11-15 23:38:01.500,21.65688639,21.69026637
2024-11-15 23:38:02.000,21.65688639,21.69026637
2024-11-15 23:38:02.500,21.65286059,21.68719106
2024-11-15 23:38:03.000,21.65286059,21.68719106
2024-11-18 17:18:45.000,12.41886666,13.13150053
2024-11-18 17:18:45.500,12.41886666,13.13150053
2024-11-18 17:18:46.000,12.41886666,13.13150053
2024-11-18 17:18:46.500,12.28312695,12.91784866
2024-11-18 17:18:47.000,12.28312695,12.91784866
2024-11-18 17:18:47.500,12.28312695,12.91784866
2024-11-18 17:18:48.000,12.28312695,12.91784866
2024-11-18 17:18:48.500,12.28038141,12.70234828
2024-11-18 17:18:49.000,12.28038141,12.70234828
2024-11-18 17:18:49.500,12.28038141,12.70234828
2024-11-18 17:18:50.000,12.28038141,12.70234828
2024-11-18 17:18:50.500,12.37536317,12.51454213
2024-11-18 17:18:51.000,12.37536317,12.51454213
2024-11-18 17:18:51.500,12.37536317,12.51454213
2024-11-18 17:18:52.000,12.37536317,12.51454213
2024-11-18 17:18:52.500,12.63569991,12.37196499
2024-11-18 17:18:53.000,12.63569991,12.37196499
2024-11-18 17:18:53.500,12.63569991,12.37196499
2024-11-18 17:18:54.000,12.63569991,12.37196499
2024-11-18 17:18:54.500,12.85020094,12.26744652
2024-11-18 17:18:55.000,12.85020094,12.26744652
2024-11-18 17:18:55.500,12.85020094,12.26744652
2024-11-18 17:18:56.000,12.85020094,12.26744652
2024-11-18 17:18:56.500,13.03467714,12.20423513
2024-11-18 17:18:57.000,13.03467714,12.20423513
2024-11-18 17:18:57.500,13.03467714,12.20423513
2024-11-18 17:18:58.000,13.03467714,12.20423513
2024-11-18 17:18:58.500,13.17918444,12.18920218
2024-11-18 17:18:59.000,13.17918444,12.18920218
2024-11-18 17:18:59.500,13.17918444,12.18920218
2024-11-18 17:19:00.000,13.17918444,12.18920218
2024-11-18 17:19:00.500,13.22990877,12.16338465
2024-11-18 17:19:01.000,13.22990877,12.16338465
2024-11-18 17:19:01.500,13.22990877,12.16338465
2024-11-18 17:19:02.000,13.22990877,12.16338465
2024-11-18 17:19:02.500,13.18335534,12.10358205
2024-11-18 17:19:03.000,13.18335534,12.10358205
2024-11-18 17:19:03.500,13.18335534,12.10358205
2024-11-18 17:19:04.000,13.18335534,12.10358205
2024-11-18 17:19:04.500,13.09363347,12.03319426
2024-11-18 17:19:05.000,13.09363347,12.03319426
2024-11-18 17:19:05.500,13.09363347,12.03319426
2024-11-18 17:19:06.000,13.09363347,12.03319426
2024-11-18 17:19:06.500,13.12140725,11.98817728
2024-11-18 17:19:07.000,13.12140725,11.98817728
2024-11-18 17:19:07.500,13.12140725,11.98817728
2024-11-18 17:19:08.000,13.12140725,11.98817728
2024-11-18 17:19:08.500,13.14361574,11.93354292
2024-11-18 17:19:09.000,13.14361574,11.93354292
2024-11-18 17:19:09.500,13.14361574,11.93354292
2024-11-18 17:19:10.000,13.14361574,11.93354292
2024-11-18 17:19:10.500,13.1484671,11.87069976
2024-11-18 17:19:11.000,13.1484671,11.87069976
2024-11-18 17:19:11.500,13.1484671,11.87069976
2024-11-18 17:19:12.000,13.1484671,11.87069976
2024-11-18 17:19:12.500,13.21235006,11.82880504
2024-11-18 17:19:13.000,13.21235006,11.82880504
2024-11-18 17:19:13.500,13.21235006,11.82880504
2024-11-18 17:19:14.000,13.21235006,11.82880504
2024-11-18 17:19:14.500,13.32033054,11.80420272
2024-11-18 17:19:15.000,13.32033054,11.80420272
2024-11-18 17:19:15.500,13.32033054,11.80420272
2024-11-18 17:19:16.000,13.32033054,11.80420272
2024-11-18 17:19:16.500,13.35266081,11.78490868
2024-11-18 17:19:17.000,13.35266081,11.78490868
2024-11-18 17:19:17.500,13.35266081,11.78490868
2024-11-18 17:19:18.000,13.35266081,11.78490868
2024-11-18 17:19:18.500,13.31837011,11.76308555
2024-11-18 17:19:19.000,13.31837011,11.76308555
2024-11-18 17:19:19.500,13.31837011,11.76308555
2024-11-18 17:19:20.000,13.31837011,11.76308555
2024-11-18 17:19:20.500,13.30885837,11.71875276
2024-11-18 17:19:21.000,13.30885837,11.71875276
2024-11-18 17:19:21.500,13.30885837,11.71875276
