time,wspd_min,wspd_max,tilt_x,tilt_y,atmp,hrh,bpr,precip,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,rain_peak_intensity,hail_peak_intensity,wndflag,rhtpflag,prcflag,wnde,wndn,wspd,wdir,compass
2026-05-28 13:08:55,0.10000000149011612,3.5999999046325684,-2.936363935470581,0.581818163394928,19.5,59.0,1006.7000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6917721689786362,0.10058273436461977,0.6990462218091665,81.72724383310548,233.04545592895846
2026-05-28 13:09:55,1.2000000476837158,4.5,-2.9909093379974365,0.5727272629737854,19.200000762939453,60.0,1006.7000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9568467905626549,0.2538158820765089,0.9899385246591474,75.1437032443359,233.02727299509593
2026-05-28 13:10:55,1.2999999523162842,5.0,-2.972727060317993,0.5909090638160706,18.899999618530273,61.29999923706055,1006.7000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6422653238022524,0.24153469599003657,0.6861805560680159,69.39038375946899,233.02727439484363
2026-05-28 13:11:55,1.2000000476837158,4.699999809265137,-2.9454543590545654,0.5454545617103577,18.700000762939453,62.29999923706055,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.961855532043412,0.23993380648496887,0.991329559741301,75.99347857782962,233.08182028777802
2026-05-28 13:12:55,1.2999999523162842,4.300000190734863,-2.8818185329437256,0.6727272272109985,18.5,63.099998474121094,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9923842611717091,0.2490415666034326,1.02315601142622,75.91239020697297,233.0909068286486
2026-05-28 13:13:55,1.399999976158142,3.799999952316284,-3.0999999046325684,0.645454466342926,18.299999237060547,63.5,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9726708950801402,0.09374496724123124,0.9771779720291798,84.4948982555019,232.936361146335
2026-05-28 13:14:55,1.2000000476837158,4.900000095367432,-3.090909004211426,0.6181817650794983,18.200000762939453,64.0999984741211,1006.7000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.7694746986617029,0.18199326634554103,0.7907040286198355,76.69314877302533,232.9818156418994
2026-05-28 13:15:55,1.5,4.900000095367432,-3.1181821823120117,0.6363636255264282,18.100000381469727,64.30000305175781,1006.7000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8355287040231879,0.16223850745010593,0.8511342717493556,79.01135391623426,233.0
2026-05-28 13:16:55,1.5,4.900000095367432,-3.090909481048584,0.5909091234207153,18.100000381469727,64.5,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.013176891516546,0.1553730211335809,1.02502106768559,81.28148048947642,233.02727439484363
2026-05-28 13:17:55,1.399999976158142,4.400000095367432,-3.0818183422088623,0.6272726655006409,18.0,64.69999694824219,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8803022771698782,0.18851068290856585,0.9002601717065611,77.91305409778073,233.03636445790704
2026-05-28 13:18:55,1.5,5.099999904632568,-3.1181821823120117,0.6363635659217834,18.0,64.9000015258789,1006.7000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9000293454898614,0.251242597730178,0.9344386901542103,74.4029593920417,232.99090994425998
2026-05-28 13:19:55,1.7000000476837158,5.5,-3.0727272033691406,0.6363635659217834,18.0,65.0999984741211,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.950717371561548,0.211096785128151,0.973871333021123,77.48117063846612,232.99090853444167
2026-05-28 13:20:55,1.2999999523162842,4.300000190734863,-3.0999999046325684,0.5999999642372131,18.0,65.19999694824219,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.7971855246014322,0.14593542997454087,0.8104331621768169,79.62611036712649,233.00909146807626
2026-05-28 13:21:55,1.5,4.900000095367432,-3.1000001430511475,0.5999999642372131,18.0,65.30000305175781,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6281525465138837,0.1062146501939781,0.6370692062937166,80.40260714770508,233.02727439484363
2026-05-28 13:22:55,1.399999976158142,4.800000190734863,-3.1000001430511475,0.6090908646583557,17.899999618530273,65.5,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8511567060353001,0.1898031052015572,0.8720624730906701,77.42904339541724,233.0454573186353
2026-05-28 13:23:55,1.5,4.800000190734863,-3.154545545578003,0.6181817650794983,17.899999618530273,65.5,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.1814773351559351,0.10778975591533686,1.186384138872169,84.78716348175809,232.95454408363094
2026-05-28 13:24:55,1.7000000476837158,4.800000190734863,-3.1181821823120117,0.5999999642372131,17.899999618530273,65.5,1006.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9972547296492608,0.16295108717274,1.0104801099569443,80.71990014641784,232.95454408363094
