window,t0,t1,N,T_tank_C,T_dry_SHS_C,T_wet_SHS_C,dT_dry_minus_tank,dT_wet_minus_tank
IN-1,14:26,14:33,141,21.42167375886525,21.427947901672947,21.42686160577171,0.006274142807697558,0.005187846906459015
IN-4,17:02,17:08,121,21.414585950413226,21.42519803781142,21.42541209075796,0.010612087398193637,0.010826140344732949
IN-5,19:18,19:25,141,21.443306382978722,21.60973949685497,21.172493236155255,0.16643311387624848,-0.2708131468234676
