RH,e,e_sat,q,dew_point,timestamp,T_dry,T_wet,depression
10.338437341737455,220.0215535309253,2128.1896505062045,0.00013507489782899174,-13.311520518640359,2025-02-27 22:15:38.000,18.52117600914761,16.122654262036747,2.3985217471108626
10.338437341737455,220.0215535309253,2128.1896505062045,0.00013507489782899174,-13.311520518640359,2025-02-27 22:15:38.500,18.52117600914761,16.122654262036747,2.3985217471108626
10.338437341737455,220.0215535309253,2128.1896505062045,0.00013507489782899174,-13.311520518640359,2025-02-27 22:15:39.000,18.52117600914761,16.122654262036747,2.3985217471108626
10.338437341737455,220.0215535309253,2128.1896505062045,0.00013507489782899174,-13.311520518640359,2025-02-27 22:15:39.500,18.52117600914761,16.122654262036747,2.3985217471108626
10.413099495583628,221.9463290830854,2131.414658788352,0.0001362566474593497,-13.204159200695823,2025-02-27 22:15:40.000,18.54536242372461,16.145700147629384,2.3996622760952278
10.413099495583628,221.9463290830854,2131.414658788352,0.0001362566474593497,-13.204159200695823,2025-02-27 22:15:40.500,18.54536242372461,16.145700147629384,2.3996622760952278
10.413099495583628,221.9463290830854,2131.414658788352,0.0001362566474593497,-13.204159200695823,2025-02-27 22:15:41.000,18.54536242372461,16.145700147629384,2.3996622760952278
10.413099495583628,221.9463290830854,2131.414658788352,0.0001362566474593497,-13.204159200695823,2025-02-27 22:15:41.500,18.54536242372461,16.145700147629384,2.3996622760952278
10.341696344437695,220.7725781835693,2134.781092294518,0.00013553600235413944,-13.269530025665185,2025-02-27 22:15:42.000,18.570575230741383,16.165682026007232,2.404893204734151
10.341696344437695,220.7725781835693,2134.781092294518,0.00013553600235413944,-13.269530025665185,2025-02-27 22:15:42.500,18.570575230741383,16.165682026007232,2.404893204734151
10.341696344437695,220.7725781835693,2134.781092294518,0.00013553600235413944,-13.269530025665185,2025-02-27 22:15:43.000,18.570575230741383,16.165682026007232,2.404893204734151
10.341696344437695,220.7725781835693,2134.781092294518,0.00013553600235413944,-13.269530025665185,2025-02-27 22:15:43.500,18.570575230741383,16.165682026007232,2.404893204734151
10.380554629719816,221.90315190361457,2137.6810760024296,0.00013623013805588098,-13.206558434885022,2025-02-27 22:15:44.000,18.59226660720492,16.185587279663935,2.406679327540985
10.380554629719816,221.90315190361457,2137.6810760024296,0.00013623013805588098,-13.206558434885022,2025-02-27 22:15:44.500,18.59226660720492,16.185587279663935,2.406679327540985
10.380554629719816,221.90315190361457,2137.6810760024296,0.00013623013805588098,-13.206558434885022,2025-02-27 22:15:45.000,18.59226660720492,16.185587279663935,2.406679327540985
