window,t0,t1,N,T_tank_C,T_dry_SHS_C,T_wet_SHS_C,dT_dry_minus_tank,dT_wet_minus_tank
IN-1,13:11,13:27,321,17.64061360332295,17.66873700379313,17.686309832676944,0.028123400470178694,0.04569622935399309
IN-2,13:56,14:01,101,17.635963696369636,17.67172234768116,17.42488384556879,0.035758651311525114,-0.21107985080084646
IN-3,14:56,15:01,101,17.635427722772278,17.644445465199187,17.63915262787773,0.009017742426909336,0.0037249051054537574
IN-4,15:42,15:49,141,17.633847281323877,17.726173901574107,17.22245811962439,0.09232662025022975,-0.4113891616994856
IN-5,16:30,16:34,81,17.638889300411524,17.656106190732643,17.504961484622743,0.017216890321119394,-0.13392781578878044
IN-6,18:30,18:50,401,17.6341042394015,17.687510440547477,17.558408937035328,0.05340620114597883,-0.07569530236617084
