time,atmp,hrh,bpr,wxt_e_hPa,wxt_q_gkg,psy_T_dry_C,psy_T_wet_C,psy_RH_pct,psy_e_hPa,psy_q_gkg,psy_in_air,comparison_valid,dRH_psy_minus_wxt_pct,de_psy_minus_wxt_hPa,dq_psy_minus_wxt_gkg
2026-05-28 13:08:55,19.5,59.0,1006.7000122070312,13.378562965287317,8.336695405955144,17.931768643857083,18.36394778592665,104.16205454874743,21.412762697950836,13.2455652394902,True,True,45.162054548747435,8.034199732663518,4.908869833535055
2026-05-28 13:09:55,19.200000762939453,60.0,1006.7000122070312,13.353656848023139,8.319853791855204,17.955920676292124,18.309508564855605,103.39812992744376,21.288043578015085,13.1685709120612,True,True,43.39812992744376,7.934386729991946,4.848717120205997
2026-05-28 13:10:55,18.899999618530277,61.29999923706055,1006.7000122070312,13.390048924099272,8.341224168980085,18.017263941686394,18.329107106051083,102.98980426437794,21.28593897211882,13.167663018025,True,True,41.68980502731739,7.895890048019549,4.826438849044914
2026-05-28 13:11:55,18.700000762939453,62.29999923706055,1006.7999877929688,13.439440183177789,8.370294021131619,17.653036690444424,17.836420112649307,101.77116808199068,20.55716789417735,12.7145988741384,False,False,39.47116884493013,7.117727710999562,4.344304853006781
2026-05-28 13:12:55,18.5,63.09999847412109,1006.7999877929688,13.442669047544738,8.371454527179635,17.650822049895964,17.651602246000834,100.00751087715784,20.198098929921674,12.492501639468099,False,False,36.907512403036755,6.755429882376935,4.121047112288464
2026-05-28 13:13:55,18.299999237060547,63.5,1006.7999877929688,13.359325008392423,8.31871602219754,17.650490894707218,17.65400066803602,100.03379024076705,20.202984595834035,12.4955214374198,False,False,36.53379024076705,6.843659587441612,4.17680541522226
2026-05-28 13:14:55,18.200000762939453,64.0999984741211,1006.7000122070312,13.401179507225113,8.345197936682792,17.65102902268353,17.651799943669346,100.00742154398468,20.198344490173582,12.4926547560494,False,False,35.90742306986358,6.79716498294847,4.147456819366608
2026-05-28 13:15:55,18.100000381469727,64.30000305175781,1006.7000122070312,13.358818803107262,8.318406876311991,17.64955952912743,17.650051899153027,100.00474013737367,20.19593148526928,12.4911535278416,False,False,35.70473708561586,6.837112682162019,4.172746651529609
2026-05-28 13:16:55,18.100000381469727,64.5,1006.7999877929688,13.40036974936402,8.343445143320661,17.650578857651624,17.649458822395047,99.989217823037,20.194094686540293,12.490023565274399,False,False,35.489217823036995,6.793724937176274,4.146578421953738
2026-05-28 13:17:55,18.0,64.69999694824219,1006.7999877929688,13.357687555978046,8.316460284237222,17.64739156495841,17.647450722069436,100.0005695451046,20.19232865894137,12.488912224858199,False,False,35.30057259686241,6.8346411029633245,4.172451940620977
2026-05-28 13:18:55,18.0,64.9000015258789,1006.7000122070312,13.398979608331398,8.34300354002035,17.648990367365457,17.64631663867641,99.97426060256676,20.189051567802295,12.4868949070439,False,False,35.07425907668785,6.790071959470897,4.143891367023551
2026-05-28 13:19:55,18.0,65.0999984741211,1006.7999877929688,13.440270178182482,8.367876002328636,17.64909385097843,17.647003329210975,99.97987485041595,20.19031707069401,12.487678237075,False,False,34.87987637629486,6.750046892511529,4.1198022347463645
2026-05-28 13:20:55,18.0,65.19999694824219,1006.7999877929688,13.460915439950465,8.380729686683175,17.648835142232485,17.647081362646247,99.98311639835424,20.190642303150987,12.4878778463246,False,False,34.78311945011205,6.729726863200522,4.107148159641426
