// Creator: RBR Ltd.
// Create time: 2024-06-20T18:45:36
// Instrument model firmware and serialID: RBRduo³ 1.15 233860
// Sample period: 0.5 second
// Processing history:
//	../data/SHS/233860_20240523_1657.rsk opened using pyRSKtools v1.1.1.
//	../data/SHS/233860_20240523_1657.rsk opened using pyRSKtools v1.1.1.
// 
timestamp(yyyy-mm-ddTHH:MM:ss.FFF),temperature(°C),temperature1(°C)
2024-05-23T14:22:46.000,    22.770717581097074,    22.770874308041186
2024-05-23T14:22:46.500,    22.770717581097074,    22.770874308041186
2024-05-23T14:22:47.000,    22.770717581097074,    22.770874308041186
2024-05-23T14:22:47.500,    22.77198065122184,    22.772992331563955
2024-05-23T14:22:48.000,    22.77198065122184,    22.772992331563955
2024-05-23T14:22:48.500,    22.77198065122184,    22.772992331563955
2024-05-23T14:22:49.000,    22.77198065122184,    22.772992331563955
2024-05-23T14:22:49.500,    22.77433771210491,    22.775144421057405
2024-05-23T14:22:50.000,    22.77433771210491,    22.775144421057405
2024-05-23T14:22:50.500,    22.77433771210491,    22.775144421057405
2024-05-23T14:22:51.000,    22.77433771210491,    22.775144421057405
2024-05-23T14:22:51.500,    22.777512582132317,    22.78052502847595
2024-05-23T14:22:52.000,    22.777512582132317,    22.78052502847595
2024-05-23T14:22:52.500,    22.777512582132317,    22.78052502847595
2024-05-23T14:22:53.000,    22.777512582132317,    22.78052502847595
2024-05-23T14:22:53.500,    22.764645121874082,    22.773343455969098
2024-05-23T14:22:54.000,    22.764645121874082,    22.773343455969098
2024-05-23T14:22:54.500,    22.764645121874082,    22.773343455969098
2024-05-23T14:22:55.000,    22.764645121874082,    22.773343455969098
2024-05-23T14:22:55.500,    22.753190001581288,    22.761740596342122
2024-05-23T14:22:56.000,    22.753190001581288,    22.761740596342122
2024-05-23T14:22:56.500,    22.753190001581288,    22.761740596342122
2024-05-23T14:22:57.000,    22.753190001581288,    22.761740596342122
2024-05-23T14:22:57.500,    22.74575566608968,    22.75425586691614
2024-05-23T14:22:58.000,    22.74575566608968,    22.75425586691614
2024-05-23T14:22:58.500,    22.74575566608968,    22.75425586691614
2024-05-23T14:22:59.000,    22.74575566608968,    22.75425586691614
2024-05-23T14:22:59.500,    22.737725067684664,    22.747219375932275
2024-05-23T14:23:00.000,    22.737725067684664,    22.747219375932275
2024-05-23T14:23:00.500,    22.737725067684664,    22.747219375932275
2024-05-23T14:23:01.000,    22.737725067684664,    22.747219375932275
2024-05-23T14:23:01.500,    22.736665684441107,    22.747819394156807
2024-05-23T14:23:02.000,    22.736665684441107,    22.747819394156807
2024-05-23T14:23:02.500,    22.736665684441107,    22.747819394156807
2024-05-23T14:23:03.000,    22.736665684441107,    22.747819394156807
2024-05-23T14:23:03.500,    22.740999148527465,    22.749596846586883
2024-05-23T14:23:04.000,    22.740999148527465,    22.749596846586883
2024-05-23T14:23:04.500,    22.740999148527465,    22.749596846586883
2024-05-23T14:23:05.000,    22.740999148527465,    22.749596846586883
2024-05-23T14:23:05.500,    22.742943407261976,    22.748917558350342
2024-05-23T14:23:06.000,    22.742943407261976,    22.748917558350342
2024-05-23T14:23:06.500,    22.742943407261976,    22.748917558350342
2024-05-23T14:23:07.000,    22.742943407261976,    22.748917558350342
2024-05-23T14:23:07.500,    22.74466230498217,    22.748470365024275
2024-05-23T14:23:08.000,    22.74466230498217,    22.748470365024275
2024-05-23T14:23:08.500,    22.74466230498217,    22.748470365024275
2024-05-23T14:23:09.000,    22.74466230498217,    22.748470365024275
2024-05-23T14:23:09.500,    22.74436360721802,    22.748538292880824
2024-05-23T14:23:10.000,    22.74436360721802,    22.748538292880824
2024-05-23T14:23:10.500,    22.74436360721802,    22.748538292880824
2024-05-23T14:23:11.000,    22.74436360721802,    22.748538292880824
2024-05-23T14:23:11.500,    22.74292086471695,    22.746908048403952
2024-05-23T14:23:12.000,    22.74292086471695,    22.746908048403952
2024-05-23T14:23:12.500,    22.74292086471695,    22.746908048403952
2024-05-23T14:23:13.000,    22.74292086471695,    22.746908048403952
2024-05-23T14:23:13.500,    22.738767566851834,    22.74151954227119
2024-05-23T14:23:14.000,    22.738767566851834,    22.74151954227119
2024-05-23T14:23:14.500,    22.738767566851834,    22.74151954227119
2024-05-23T14:23:15.000,    22.738767566851834,    22.74151954227119
2024-05-23T14:23:15.500,    22.734975223761694,    22.73570147757067
2024-05-23T14:23:16.000,    22.734975223761694,    22.73570147757067
2024-05-23T14:23:16.500,    22.734975223761694,    22.73570147757067
2024-05-23T14:23:17.000,    22.734975223761694,    22.73570147757067
2024-05-23T14:23:17.500,    22.740779367311234,    22.739991389392856
2024-05-23T14:23:18.000,    22.740779367311234,    22.739991389392856
2024-05-23T14:23:18.500,    22.740779367311234,    22.739991389392856
2024-05-23T14:23:19.000,    22.740779367311234,    22.739991389392856
2024-05-23T14:23:19.500,    22.747057584693778,    22.74808544215182
2024-05-23T14:23:20.000,    22.747057584693778,    22.74808544215182
2024-05-23T14:23:20.500,    22.747057584693778,    22.74808544215182
2024-05-23T14:23:21.000,    22.747057584693778,    22.74808544215182
2024-05-23T14:23:21.500,    22.751527188683554,    22.754510624701595
2024-05-23T14:23:22.000,    22.751527188683554,    22.754510624701595
2024-05-23T14:23:22.500,    22.751527188683554,    22.754510624701595
2024-05-23T14:23:23.000,    22.751527188683554,    22.754510624701595
2024-05-23T14:23:23.500,    22.7541764410459,    22.75838875591313
2024-05-23T14:23:24.000,    22.7541764410459,    22.75838875591313
2024-05-23T14:23:24.500,    22.7541764410459,    22.75838875591313
